Species Name,Description
,
,
Acanthuridae,"The Acanthuridae are a family of ray-finned fish which includes surgeonfishes, tangs, and unicornfishes. The family includes about 86 extant species of marine fishes living in tropical seas, usually around coral reefs. Many of the species are brightly colored and popular in aquaria."
Acestrorhynchidae,"Acestrorhynchidae is a family of freshwater fish in the order Characiformes, found in South America. Members of this family are known as freshwater barracudas (not to be confused with the unrelated true barracudas of the Sphyraenidae) and biting tetras. Until recently, this family contained only the genus Acestrorhynchus. However, taxonomic studies have found that the subfamilies Heterocharacinae (originally placed in the closely related Characidae) and Roestinae (originally placed in the more distantly related Cynodontidae) are actually more closely related to Acestrorhynchus, and now they are also placed in this family. The family is classified as follows:

Family Acestrorhynchidae
Subfamily Acestrorhynchinae C."
Acheilognathidae,"The bitterling-like cyprinids form the cyprinoid family Acheilognathidae. This family contains seven genera, although the Khanka spiny bitterling is often placed in Acheilognathus, and at least 75 described species to date. Over half of the species are in the genus Acheilognathus."
Achiridae,"The American soles are a family (Achiridae) of flatfish occurring in both freshwater and marine environments of the Americas. The family includes about 35 species in seven genera. These are closely related to the soles (Soleidae), and have been classified as a subfamily of it, but achirids have a number of distinct characteristics. Eyes are on the right side, and the eyed-side lower lip has a distinctive fleshy rim. The dorsal and anal fins are usually separate from the caudal fin."
Acipenseridae,"”Sturgeon” is the common name for the 27 species of fish belonging to the family Acipenseridae. The earliest sturgeon fossils date to the Late Cretaceous, and are descended from other, earlier acipenseriform fish, which date back to the Early Jurassic period, some 174 to 201 million years ago. They are one of two living families of the Acipenseriformes alongside paddlefish (Polyodontidae). The family is grouped into five genera: Acipenser, Huso, Scaphirhynchus, Sinosturio, and Pseudoscaphirhynchus. Two species (H."
Acropomatidae,"Acropomatidae is a family of ray-finned fish in the order Acropomatiformes, commonly known as lanternbellies. Acropoma species are notable for having light-emitting organs along their undersides. They are found in all temperate and tropical oceans, usually at depths of several hundred meters. There are about 32 species in as many as 9 genera, although some authorities recognise fewer genera than Fishbase does. Members of the family are generally small, with some ranging up to 40 cm, but most no more than 15 cm."
Adrianichthyidae,"The ricefishes are a family (Adrianichthyidae) of small ray-finned fish that are found in fresh and brackish waters from India to Japan and out into the Malay Archipelago, most notably Sulawesi (where the Lake Poso and Lore Lindu species are known as buntingi). The common name ricefish derives from the fact that some species are found in rice paddies. This family consists of about 37 species in two genera (some recognize a third, Xenopoecilus). Several species are rare and threatened, and some 2–4 may already be extinct. The fossil genus †Lithopoecilus de Beaufort, 1934 from the Miocene of Sulawesi may potentially represent a prehistoric member of the family, although it is only tentatively placed within it."
Aetobatidae,"Aetobatus (from Ancient Greek ἀετός (aetós), meaning ""eagle"", and βάτος (bátos), meaning ""ray"") is a genus of eagle rays native to the Atlantic, Pacific and Indian Oceans. It was formerly placed in Myliobatidae, but is now placed in its own family Aetobatidae based on salient differences from myliobatids, especially the pectoral fins joining the head at the level of the eyes."
